Term,CourseID,Subject,MaxUnits,TotalCapacity,EnrlTotal,TotalSections
2168,100630,ANTHRO,4,20,20,1
2178,100630,ANTHRO,4,0,0,1
2168,100631,ANTHRO,4,41,41,1
2178,100631,ANTHRO,4,0,0,1
2182,100631,ANTHRO,4,34,33,1
2172,100635,ANTHRO,4,120,98,1
2182,100635,ANTHRO,4,120,77,1
2168,100637,ANTHRO,4,100,92,1
2178,100637,ANTHRO,4,55,49,1
2182,100638,ANTHRO,5,12,9,1
2178,100640,ANTHRO,4,40,39,1
2168,100641,ANTHRO,4,60,0,1
2178,100641,ANTHRO,4,60,39,1
2178,100651,ANTHRO,4,51,48,1
2168,100653,ANTHRO,4,63,63,1
2178,100653,ANTHRO,4,0,0,1
2168,100654,ANTHRO,4,60,0,1
2178,100654,ANTHRO,4,60,0,2
2168,100659,ANTHRO,4,40,36,1
2178,100659,ANTHRO,4,0,0,1
2172,100660,ANTHRO,4,40,27,1
2182,100660,ANTHRO,4,40,0,1
2172,100661,ANTHRO,4,43,43,1
2182,100661,ANTHRO,4,43,0,1
2168,100664,ANTHRO,4,120,93,1
2178,100664,ANTHRO,4,138,114,1
2168,100665,ANTHRO,4,35,24,1
2178,100665,ANTHRO,4,0,0,1
2185,100665,ANTHRO,4,30,17,1
2172,100669,ANTHRO,4,195,173,1
2182,100669,ANTHRO,4,100,100,1
2172,100671,ANTHRO,4,40,23,1
2175,100671,ANTHRO,4,40,15,1
2182,100671,ANTHRO,4,35,22,1
2185,100671,ANTHRO,4,40,0,1
2175,100677,ANTHRO,4,50,36,1
2178,100677,ANTHRO,4,40,0,1
2185,100677,ANTHRO,4,50,33,1
2172,100681,ANTHRO,5,20,19,1
2175,100681,ANTHRO,5,22,19,1
2178,100681,ANTHRO,5,20,12,1
2182,100681,ANTHRO,5,0,0,1
2185,100681,ANTHRO,5,22,0,1
2168,100682,ANTHRO,4,21,21,1
2178,100682,ANTHRO,4,0,0,1
2172,100685,ANTHRO,4,76,76,1
2182,100685,ANTHRO,4,80,79,1
2178,100686,ANTHRO,4,0,0,1
2172,100691,ANTHRO,4,80,78,1
2175,100691,ANTHRO,4,50,0,1
2182,100691,ANTHRO,4,80,0,1
2172,100698,ANTHRO,4,50,47,1
2182,100698,ANTHRO,4,50,0,1
2175,100699,ANTHRO,4,0,0,1
2178,100699,ANTHRO,4,40,0,1
2172,100701,ANTHRO,4,40,42,1
2182,100701,ANTHRO,4,24,8,1
2185,100701,ANTHRO,4,30,16,1
2168,100707,ANTHRO,4,129,77,4
2172,100707,ANTHRO,4,150,67,4
2175,100707,ANTHRO,4,150,14,4
2178,100707,ANTHRO,4,242,128,6
2182,100707,ANTHRO,4,182,79,6
2185,100707,ANTHRO,4,60,18,2
2168,100725,ANTHRO,4,30,0,2
2172,100725,ANTHRO,4,20,13,1
2178,100725,ANTHRO,4,14,0,1
2182,100725,ANTHRO,4,28,0,2
2168,100726,ANTHRO,12,245,0,12
2172,100726,ANTHRO,12,220,0,7
2175,100726,ANTHRO,12,25,1,5
2178,100726,ANTHRO,12,245,0,12
2182,100726,ANTHRO,12,220,0,7
2185,100726,ANTHRO,12,25,0,5
2168,100727,ANTHRO,4,296,38,22
2172,100727,ANTHRO,4,306,39,20
2175,100727,ANTHRO,4,15,0,3
2178,100727,ANTHRO,4,310,21,22
2182,100727,ANTHRO,4,361,57,20
2185,100727,ANTHRO,4,15,0,3
2168,100728,ANTHRO,4,145,3,29
2172,100728,ANTHRO,4,640,10,32
2175,100728,ANTHRO,4,25,0,5
2178,100728,ANTHRO,4,145,11,29
2182,100728,ANTHRO,4,640,2,32
2185,100728,ANTHRO,4,25,0,5
2168,100730,ANTHRO,4,272,272,1
2172,100730,ANTHRO,4,323,270,1
2175,100730,ANTHRO,4,45,0,1
2178,100730,ANTHRO,4,272,271,1
2182,100730,ANTHRO,4,170,170,1
2185,100730,ANTHRO,4,45,4,1
2182,100750,ANTHRO,4,14,3,1
2168,100752,ANTHRO,4,14,0,1
2178,100752,ANTHRO,4,0,0,1
2172,100754,ANTHRO,4,5,2,1
2182,100754,ANTHRO,4,5,4,1
2168,100760,ANTHRO,4,15,5,1
2178,100760,ANTHRO,4,0,0,1
2168,100764,ANTHRO,4,11,5,1
2178,100764,ANTHRO,4,12,11,1
2172,100765,ANTHRO,4,15,5,1
2182,100765,ANTHRO,4,15,6,1
2168,100767,ANTHRO,4,10,4,1
2172,100767,ANTHRO,4,44,17,2
2178,100767,ANTHRO,4,30,13,3
2182,100767,ANTHRO,4,52,22,4
2168,100772,ANTHRO,1,20,19,1
2172,100772,ANTHRO,1,0,0,1
2178,100772,ANTHRO,1,51,46,3
2182,100772,ANTHRO,1,31,28,2
2168,100773,ANTHRO,5,20,13,1
2178,100773,ANTHRO,5,20,16,1
2172,100774,ANTHRO,5,30,13,1
2182,100774,ANTHRO,5,30,12,1
2172,100779,ANTHRO,4,12,8,1
2182,100779,ANTHRO,4,10,0,1
2178,100781,ANTHRO,4,18,14,1
2168,100786,ANTHRO,4,11,6,1
2172,100786,ANTHRO,4,10,0,1
2178,100786,ANTHRO,4,12,3,1
2182,100786,ANTHRO,4,10,0,1
2172,100794,ANTHRO,4,3,0,1
2182,100794,ANTHRO,4,3,0,1
2172,100798,ANTHRO,4,10,1,1
2182,100798,ANTHRO,4,10,1,1
2168,100800,ANTHRO,4,75,43,6
2172,100800,ANTHRO,4,40,20,3
2178,100800,ANTHRO,4,46,28,4
2182,100800,ANTHRO,4,42,19,3
2178,100808,ANTHRO,4,11,10,1
2178,100819,ANTHRO,4,13,11,1
2168,100828,ANTHRO,1,87,49,2
2172,100828,ANTHRO,1,60,40,2
2178,100828,ANTHRO,1,87,51,2
2182,100828,ANTHRO,1,90,49,2
2168,100831,ANTHRO,12,250,0,5
2172,100831,ANTHRO,12,150,0,5
2178,100831,ANTHRO,12,250,0,5
2182,100831,ANTHRO,12,150,0,5
2168,100832,ANTHRO,4,150,3,5
2172,100832,ANTHRO,4,150,2,5
2178,100832,ANTHRO,4,150,2,5
2182,100832,ANTHRO,4,150,0,5
2168,100833,ANTHRO,8,105,32,35
2172,100833,ANTHRO,8,965,24,33
2178,100833,ANTHRO,8,105,31,35
2182,100833,ANTHRO,8,965,37,33
2168,100834,ANTHRO,12,105,69,35
2172,100834,ANTHRO,12,103,59,35
2175,100834,ANTHRO,12,4,1,1
2178,100834,ANTHRO,12,105,74,35
2182,100834,ANTHRO,12,103,70,35
2185,100834,ANTHRO,12,4,0,1
2168,100836,ANTHRO,4,476,478,1
2172,100836,ANTHRO,4,476,448,1
2175,100836,ANTHRO,4,45,36,1
2178,100836,ANTHRO,4,476,474,1
2182,100836,ANTHRO,4,476,460,1
2185,100836,ANTHRO,4,45,24,1
2168,100839,ANTHRO,6,140,7,1
2172,100839,ANTHRO,6,95,10,11
2178,100839,ANTHRO,6,140,9,14
2182,100839,ANTHRO,6,95,5,11
2168,100840,ANTHRO,3,25,11,1
2178,100840,ANTHRO,3,25,10,1
2178,100841,ANTHRO,4,20,17,1
2168,100868,ANTHRO,12,990,3,33
2172,100868,ANTHRO,12,870,14,29
2178,100868,ANTHRO,12,990,0,33
2182,100868,ANTHRO,12,870,14,29
2168,100873,ANTHRO,2,27,27,2
2172,100873,ANTHRO,2,15,8,1
2178,100873,ANTHRO,2,23,17,2
2182,100873,ANTHRO,2,15,1,1
2168,100876,ANTHRO,4,843,13,29
2172,100876,ANTHRO,4,178,0,10
2178,100876,ANTHRO,4,843,2,29
2182,100876,ANTHRO,4,178,0,10
2168,100877,ANTHRO,4,205,0,5
2172,100877,ANTHRO,4,50,0,8
2175,100877,ANTHRO,4,10,0,1
2178,100877,ANTHRO,4,205,0,5
2182,100877,ANTHRO,4,50,0,8
2185,100877,ANTHRO,4,10,0,1
2168,100878,ANTHRO,4,630,7,28
2172,100878,ANTHRO,4,159,4,21
2175,100878,ANTHRO,4,10,0,2
2178,100878,ANTHRO,4,640,17,30
2182,100878,ANTHRO,4,159,0,21
2185,100878,ANTHRO,4,10,0,2
2168,100880,ANTHRO,4,167,4,29
2172,100880,ANTHRO,4,222,8,29
2175,100880,ANTHRO,4,20,0,4
2178,100880,ANTHRO,4,680,3,29
2182,100880,ANTHRO,4,222,18,29
2185,100880,ANTHRO,4,20,0,4
2175,100886,ANTHRO,6,10,0,2
2185,100886,ANTHRO,6,10,0,2
2175,100887,ANTHRO,3,55,1,11
2185,100887,ANTHRO,3,55,0,11
2175,100888,ANTHRO,6,10,0,2
2185,100888,ANTHRO,6,10,0,2
2175,100889,ANTHRO,6,25,0,5
2185,100889,ANTHRO,6,25,0,5
2175,100890,ANTHRO,6,320,4,32
2185,100890,ANTHRO,6,320,0,32
2175,100892,ANTHRO,6,10,0,2
2185,100892,ANTHRO,6,10,0,2
2168,100893,ANTHRO,4,68,68,4
2172,100893,ANTHRO,4,70,69,4
2175,100893,ANTHRO,4,102,42,6
2178,100893,ANTHRO,4,68,51,4
2182,100893,ANTHRO,4,119,118,7
2185,100893,ANTHRO,4,68,34,5
2168,100918,ARABIC,5,145,109,8
2178,100918,ARABIC,5,95,95,6
2172,100920,ARABIC,5,108,66,7
2182,100920,ARABIC,5,90,59,5
2175,100922,ARABIC,10,17,12,1
2185,100922,ARABIC,10,18,16,1
2168,100923,ARABIC,3,36,21,2
2178,100923,ARABIC,3,36,17,2
2172,100924,ARABIC,3,36,16,2
2182,100924,ARABIC,3,18,13,1
2168,100929,ARABIC,3,14,0,1
2182,100929,ARABIC,3,18,6,1
2178,100931,ARABIC,3,18,0,1
2178,100932,ARABIC,3,18,7,1
2172,100934,ARABIC,3,15,12,1
2182,100934,ARABIC,3,18,7,1
2168,100935,ARABIC,3,19,19,1
2178,100935,ARABIC,3,18,9,1
2168,100939,ARABIC,3,15,0,1
2168,100940,ARABIC,3,18,13,1
2178,100940,ARABIC,3,18,2,1
2168,100949,ARABIC,0,999,0,1
2178,100949,ARABIC,0,999,0,1
2168,100965,ARABIC,5,54,37,3
2178,100965,ARABIC,5,54,42,3
2172,100966,ARABIC,5,51,29,3
2182,100966,ARABIC,5,54,34,3
2172,100969,ARABIC,3,15,6,1
2168,100982,ARABIC,3,6,2,1
2178,100982,ARABIC,3,6,0,1
2168,100985,ARABIC,4,10,2,1
2172,100985,ARABIC,4,15,3,1
2182,100985,ARABIC,4,15,0,1
2175,100986,ARABIC,10,18,7,1
2185,100986,ARABIC,10,15,4,1
2168,100996,ARCH,6,135,148,1
2178,100996,ARCH,6,136,136,1
2172,100997,ARCH,6,150,136,1
2182,100997,ARCH,6,150,119,1
2168,100998,ARCH,5,175,79,7
2178,100998,ARCH,5,225,118,10
2172,100999,ARCH,5,155,82,6
2182,100999,ARCH,5,240,119,9
2168,101002,ARCH,3,30,24,2
2178,101002,ARCH,3,15,15,2
2172,101003,ARCH,5,30,22,2
2182,101003,ARCH,5,16,12,2
2175,101006,ARCH,5,24,22,1
2185,101006,ARCH,5,23,23,1
2168,101007,ARCH,4,10,10,3
2172,101007,ARCH,4,15,17,2
2175,101007,ARCH,4,0,0,2
2178,101007,ARCH,4,0,0,2
2182,101007,ARCH,4,38,41,3
2185,101007,ARCH,4,0,0,1
2168,101012,ARCH,4,69,72,1
2175,101012,ARCH,4,30,14,1
2178,101012,ARCH,4,75,70,1
2185,101012,ARCH,4,30,2,1
2172,101013,ARCH,5,75,68,1
2175,101013,ARCH,5,30,18,1
2182,101013,ARCH,5,75,68,1
2185,101013,ARCH,5,30,9,1
2168,101015,ARCH,4,110,125,1
2178,101015,ARCH,4,100,103,1
2168,101018,ARCH,4,5,0,1
2175,101023,ARCH,2,60,41,2
2185,101023,ARCH,2,50,42,2
2175,101024,ARCH,2,20,8,1
2185,101024,ARCH,2,25,4,1
2168,101028,ARCH,4,0,0,1
2172,101028,ARCH,4,27,10,5
2175,101028,ARCH,4,25,18,1
2178,101028,ARCH,4,5,0,1
2182,101028,ARCH,4,26,15,5
2185,101028,ARCH,4,25,3,1
2168,101032,ARCH,4,50,52,1
2178,101032,ARCH,4,50,55,1
2168,101047,ARCH,4,10,3,2
2172,101047,ARCH,4,17,2,3
2178,101047,ARCH,4,10,8,2
2182,101047,ARCH,4,5,0,3
2172,101049,ARCH,4,130,134,1
2182,101049,ARCH,4,150,154,1
2168,101050,ARCH,2,100,85,1
2178,101050,ARCH,2,100,86,1
2168,101051,ARCH,1,40,11,1
2178,101051,ARCH,1,34,17,1
2168,101052,ARCH,4,9,3,2
2175,101052,ARCH,4,25,15,1
2178,101052,ARCH,4,5,1,3
2182,101052,ARCH,4,3,5,1
2185,101052,ARCH,4,25,12,1
2168,101059,ARCH,4,160,106,1
2178,101059,ARCH,4,131,138,1
2172,101062,ARCH,3,10,2,1
2182,101062,ARCH,3,10,0,1
2172,101064,ARCH,4,18,6,2
2182,101064,ARCH,4,20,6,2
2172,101071,ARCH,4,125,121,1
2182,101071,ARCH,4,140,145,1
2168,101073,ARCH,4,10,0,1
2172,101073,ARCH,4,12,12,3
2178,101073,ARCH,4,0,0,1
2182,101073,ARCH,4,15,1,3
2168,101075,ARCH,4,150,156,1
2178,101075,ARCH,4,150,151,1
2172,101076,ARCH,4,150,140,1
2182,101076,ARCH,4,150,156,1
2168,101092,ARCH,4,5,0,2
2172,101092,ARCH,4,23,11,4
2178,101092,ARCH,4,28,18,4
2182,101092,ARCH,4,38,0,4
2168,101094,ARCH,4,138,51,10
2172,101094,ARCH,4,158,64,8
2175,101094,ARCH,4,27,10,3
2178,101094,ARCH,4,125,32,10
2182,101094,ARCH,4,195,71,9
2185,101094,ARCH,4,15,8,3
2168,101095,ARCH,1,40,40,2
2172,101095,ARCH,1,40,16,2
2178,101095,ARCH,1,40,40,2
2182,101095,ARCH,1,40,20,2
2168,101096,ARCH,4,73,1,8
2172,101096,ARCH,4,201,1,15
