CourseID,Term,TotalAttempts
101507,2178,435
101507,2182,204
101508,2168,18
101508,2172,27
101508,2178,60
101508,2182,29
101511,2172,390
101511,2178,317
101511,2182,336
101513,2178,329
101514,2178,66
101543,2178,2
101544,2172,3
101544,2178,4
101544,2182,3
101545,2178,1
101547,2178,1
101548,2182,1
101549,2168,228
101549,2172,156
101549,2175,61
101549,2178,183
101549,2182,98
101550,2168,138
101550,2172,262
101550,2178,142
101550,2182,116
101565,2168,532
101565,2178,530
101572,2168,273
101572,2172,167
101572,2178,123
101572,2182,58
101575,2175,1
101576,2168,199
101576,2172,305
101577,2172,3
101577,2182,2
101578,2168,32
101578,2172,17
101578,2178,19
101578,2182,19
101580,2182,2
101581,2168,2
101584,2168,7
101584,2172,1
101584,2178,3
101584,2182,2
101585,2168,2
101585,2172,1
101585,2182,3
101593,2168,60
101593,2172,57
101593,2175,2
101593,2178,66
101593,2182,39
101595,2175,224
101599,2168,105
101599,2178,193
101602,2172,35
101602,2182,147
101609,2168,130
101609,2182,74
101613,2168,121
101613,2172,107
101613,2178,3
101613,2182,41
101614,2168,32
101614,2172,37
101614,2175,9
101614,2178,14
101614,2182,17
101619,2172,11
101619,2182,8
101623,2182,17
101629,2168,102
101629,2172,60
101629,2178,16
101629,2182,151
101630,2178,22
101631,2182,15
101637,2168,9
101637,2178,24
101638,2172,12
101638,2182,7
101639,2168,30
101639,2172,23
101639,2178,36
101639,2182,16
101640,2178,3
101641,2168,47
101641,2172,43
101641,2178,31
101641,2182,33
101645,2168,34
101645,2178,27
101652,2168,217
101652,2178,250
101653,2172,196
101653,2182,139
101657,2168,121
101657,2172,177
101657,2178,121
101658,2175,248
101668,2168,110
101668,2172,99
101668,2182,22
101671,2168,4
101671,2172,16
101671,2178,1
101671,2182,4
101674,2175,13
101687,2178,31
101688,2182,22
101689,2168,25
101690,2172,41
101996,2168,1078
101996,2178,922
101997,2168,1147
101997,2178,705
101998,2172,112
101998,2182,123
101999,2168,226
101999,2178,127
102000,2172,283
102000,2182,211
102001,2172,179
102001,2182,203
102002,2172,133
102002,2182,160
102005,2168,213
102005,2172,203
102005,2178,110
102005,2182,115
102007,2172,230
102007,2182,376
102008,2168,132
102009,2168,171
102009,2178,259
102010,2168,156
102010,2178,182
102011,2182,143
102012,2172,90
102016,2172,91
102018,2168,131
102019,2168,144
102019,2178,65
102020,2168,239
102020,2178,165
102024,2168,46
102024,2178,61
102025,2172,24
102025,2182,38
102027,2178,135
102028,2168,44
102028,2178,110
102056,2168,193
102056,2178,43
102057,2168,1
102057,2172,4
102057,2178,1
102057,2182,2
102058,2168,13
102058,2172,31
102058,2178,49
102058,2182,49
102059,2168,7
102059,2172,1
102060,2168,86
102060,2172,25
102060,2178,60
102060,2182,9
102062,2168,129
102062,2178,62
102068,2168,56
102068,2172,275
102068,2182,150
102069,2168,16
102070,2168,341
102070,2178,150
102071,2168,142
102071,2178,65
102072,2182,49
102073,2172,24
102074,2168,594
102074,2172,150
102074,2182,118
102076,2172,44
102076,2182,40
102078,2172,33
102079,2168,99
102080,2168,51
102080,2178,24
102081,2172,386
102081,2182,406
102083,2168,66
102083,2178,38
102084,2172,28
102084,2182,4
102086,2168,57
102086,2172,43
102086,2182,56
102087,2168,44
102087,2172,279
102087,2178,103
102087,2182,116
102115,2168,31
102115,2172,25
102115,2178,29
102115,2182,14
102116,2168,181
102116,2172,165
102116,2178,183
102116,2182,169
102117,2168,37
102117,2178,51
102119,2172,85
102119,2182,35
102120,2168,13
102120,2172,15
102120,2178,71
102120,2182,54
102121,2168,2
102121,2175,3
102123,2172,2
102123,2178,1
102124,2175,4
102127,2168,1530
102127,2172,2019
102127,2175,384
102127,2178,1226
102127,2182,2114
102129,2168,1177
102129,2172,1485
102129,2175,313
102129,2178,986
102129,2182,1960
102130,2168,2404
102130,2172,1537
102130,2175,524
102130,2178,2330
102130,2182,1704
102174,2168,20
102174,2172,18
102174,2175,1
102174,2178,14
102174,2182,7
102175,2168,19
102175,2178,10
102176,2172,22
102176,2182,8
102218,2168,22
102218,2178,15
102219,2172,11
102219,2182,9
102220,2168,10
102220,2178,37
102221,2172,13
102221,2182,13
102346,2172,27
102346,2178,5
102349,2168,15
102349,2172,8
102349,2178,15
102349,2182,15
102350,2168,9
102352,2178,7
102353,2168,3
102353,2172,4
102353,2178,8
102353,2182,17
102354,2168,9
102354,2172,12
102354,2178,6
102354,2182,2
102382,2175,65
102814,2172,32
102815,2168,17
102815,2178,11
102826,2172,17
102840,2172,59
102846,2168,4
102846,2178,62
102847,2182,96
102848,2168,44
102850,2178,4
102853,2168,12
102857,2178,47
102859,2168,15
102861,2168,63
102861,2178,127
102865,2172,87
102865,2182,127
102867,2178,1
102876,2168,119
102876,2178,119
102880,2182,13
102881,2172,18
102882,2178,1
102884,2168,1
102884,2178,1
102885,2168,1
102885,2178,1
102888,2168,113
102888,2172,106
102888,2175,26
102888,2178,106
102888,2182,148
102890,2168,4514
102890,2172,3368
102890,2175,305
102890,2178,5397
102890,2182,1707
102891,2168,3086
102891,2172,2024
102891,2175,295
102891,2178,4395
102891,2182,1913
102892,2172,360
102892,2175,101
102892,2182,338
102895,2168,176
102895,2178,158
102897,2168,181
